ID_JASA,KATEGORI,PERAWATAN,HARGA NORMAL
200,FACIAL,F REGULER VIT C,80000
201,FACIAL,F ACNE,150000
202,FACIAL,F ACNE PLUS,200000
203,FACIAL,F WHITENING,125000
204,FACIAL,F PLACENTA,160000
205,FACIAL,F GOLD,150000
206,FACIAL,F SNAIL,150000
207,FACIAL,F BIO ENZYME,150000
208,FACIAL PLUS,FACIAL ACNE PLUS,225000
209,FACIAL PLUS,FACIAL DETOX,200000
210,FACIAL PLUS,OXY FACIAL,250000
211,FACIAL PLUS,OXY FACIAL DERMABRASI,325000
212,PEELING,PEELING BRIGHT,175500
213,PEELING,PEELING REJUV 1,180000
214,PEELING,PEELING REJUV 2,180000
215,PEELING,PEELING ACNE,175000
216,PEELING,MICRODERMABRASI,200000
217,MEDIS,CHEMICAL PEELING BRIGHTENING,150000
218,MEDIS,CHEMICAL PEELING REJUV 1,175000
219,MEDIS,CHEMICAL PEELING REJUV 2,175000
220,MEDIS,CHEMICAL PEELING ACNE,150000
221,MEDIS,DERMAROLLER,350000
222,MEDIS,MESONEEDLE GLOW,300000
223,MEDIS,MESONEEDLE LIFT,300000
224,MEDIS,SUNTIK ACNE (PER TITIK JERAWAT),70000
225,BODY,RF PERUT,200000
226,BODY,RF PAHA,200000
227,BODY,RF LENGAN,175000
228,BODY,RF PERUT + PAHA,400000
229,BODY,RF PERUT/PAHA + LENGAN,375000
230,BODY,RF FULL (PAHA+PERUT+LENGAN),575000
231,BODY,RF PERUT + SLIMMING CAPSULE,475000
232,BODY,RF PERUT + PAHA + SLIMMING CAPSULE,675000
233,BODY,RF FULL + SLIMMING CAPSULE,850000
234,BODY,MESOBODY,400000
235,BODY,MESOBODY + RF PERUT/PAHA,600000
236,BODY,MESOBODY + RF PERUT+PAHA,750000
237,BODY,MESOBODY + RF FULL,900000
238,BODY,TES ALERGI,180000
239,INJECTION,SUNTIK VIT C,90000
240,INJECTION,SUNTIK WHITE PLUS,300000
241,INJECTION,SUNTIK ANTI AGING,350000
242,INJECTION,SUNTIK ACNE SPOT,60000
243,INJECTION,SUNTIK WHITE SUPER,600000
244,IPL TREATMENT,IPL ACNE,300000
245,IPL TREATMENT,IPL REJUVE,300000
246,IPL TREATMENT,IPL HAIR REMOVAL AREA 1,300000
247,IPL TREATMENT,DERMAGLOW LIGHT THERAPY,475000
248,FACE RF,RF WAJAH (facelift Radio Frequency),200000
249,ELECTROCAUTER,ELECTROCAUTER 3,200000
250,PDT,PHOTO THERAPY - (PDT) MASK,90000
251,MESOTHERAPY ,V-SHAPE,600000
252,EYE TREATMENT,REFRESH EYE TREATMENT,150000
253,LASER,LASER REJUVE-PEEL,450000
254,LASER,LASER PIGMENTANSI,900000
255,PAKET SKIN FACE,F. WHITENING + BRIGHTENING PEELING,260000
256,PAKET SKIN FACE,F. GOLD + BRIGHTENING PEELING,285000
257,PAKET SKIN FACE,F. WHITENING + REJUV 1,285000
258,PAKET SKIN FACE,F. WHITENING + REJUV 2,285000
259,PAKET SKIN FACE,F. GOLD + REJUV 1,310000
260,PAKET SKIN FACE,F. GOLD + REJUV 2,310000
261,PAKET SKIN FACE,F. ACNE + ACNE PEELING,285000
262,PAKET SKIN FACE,F. ACNE PLUS + ACNE PEELING,335000
263,PAKET SKIN FACE,F. WHITENING + MICRODERMABRASI,325000
264,PAKET SKIN FACE,F. GOLD + MICRODERMABRASI (GROUPON),350000
265,PAKET SKIN FACE,F. WHITENING + FACE RF,325000
266,PAKET SKIN FACE,F. GOLD + FACE RF (LAKUPON),350000
267,PAKET SKIN FACE,F. BIO ENZYME + FACE RF,350000
268,PAKET SKIN FACE,F. WHITENING + MESO,255000
269,PAKET SKIN FACE,F. GOLD + MESO,280000
270,PAKET SKIN FACE,F. BIO ENZYME + MESO,280000
271,PAKET SKIN FACE,DERMAROLLER 3 X,925000
272,PAKET BODY,SUNTIK VIT C 4 X,325000
273,PAKET BODY,SUNTIK WHITE PLUS 4 X,1100000
274,PAKET BODY,SUNTIK ANTI AGING 4 X,1300000
275,PAKET BODY,SUNTIK WHITE SUPER 4 X,2250000
276,PAKET BODY,RF PERUT 4 X,700000
277,PAKET BODY,RF PAHA 4 X,700000
278,PAKET BODY,RF LENGAN 4 X,600000
279,PAKET BODY,RF PERUT + PAHA 4 X,1400000
280,PAKET BODY,RF PERUT + PAHA 2 X (GROUPON),800000
281,PAKET BODY,RF FULL  4X,2000000
282,PAKET BODY,RF PERUT 4X + SLIMMING CAPSULE 1 FLES,950000
283,PAKET BODY,RF (PERUT + PAHA) 4 X + SLIMMING CAPSULE 1 FLES,1600000
284,PAKET BODY,RF  FULL 4 X + SLIMMING CAPSULE 1 FLES,2200000
285,PAKET BODY,MESOBODY + RF PERUT/PAHA  4 X,2200000
286,PAKET BODY,MESOBODY + RF PERUT+PAHA  4 X,2800000
287,PAKET BODY,MESOBODY + RF FULL   4X,3350000
