No,Nama Barang,Jumlah,Harga,Total
1,NCF1,4,60000,240000
2,NCF2,45,70000,3150000
3,NCM2,33,75000,2475000
4,NCM3,1,75000,75000
5,NCA1,5,70000,350000
6,NCA2,41,70000,2870000
7,NCA3,10,75000,750000
8,AF3,9,55000,495000
9,AH2,9,60000,540000
10,ANC,3,70000,210000
11,ANTI OXIDANT,2,80000,160000
12,NANO WHITE-1,7,130000,910000
13,NANO WHITE-2,4,140000,560000
14,AH1,7,60000,420000
15,MP,14,65000,910000
16,AP,19,75000,1425000
17,BC1,20,70000,1400000
18,BC2,6,55000,330000
19,WH2,35,70000,2450000
20,BC3,2,52000,104000
21,FW1,69,60000,4140000
22,FW2,66,60000,3960000
23,TO1,38,55000,2090000
24,TO2,35,55000,1925000
25,CM,13,55000,715000
26,NT,2,65000,130000
27,SALEP G,4,25000,100000
28,SERUM ACNE ,24,90000,2160000
29,DERMACEPT 15%,15,290000,4350000
30,SERUM GOLD BRIGHT,1,210000,210000
31,ACNACARE,1,100000,100000
32,SB1,64,60000,3840000
33,SB2,101,65000,6565000
34,SB3,2,65000,130000
35,SB4,6,65000,390000
36,LP1,2,75000,150000
37,LP2,3,75000,225000
38,BB GOLD CREAM SPF 30,1,90000,90000
