No,Nama Jasa,Jumlah
1,PEELING BRIGHT,3
2,PEELING REJUV 1,12
3,PEELING REJUV 2,1
4,PEELING ACNE,13
5,MICRODERMABRASI,15
6,F WHITENING,23
7,F GOLD,6
8,F ACNE,24
9,F PLACENTA,2
10,F SNAIL,3
11,SUNTIK ACNE SPOT,2
12,SUNTIK VIT C,1
13,SUNTIK WHITE PLUS,2
14,SUNTIK WHITE SUPER,1
15,ELECTROCAUTER 3,6
16,PHOTO THERAPY - (PDT) MASK,5
17,RF WAJAH (facelift Radio Frequency),25
18,IPL ACNE,8
19,IPL REJUVE,6
20,IPL HAIR REMOVAL AREA 1,8
21,DERMAGLOW LIGHT THERAPY,2
22,REFRESH EYE TREATMENT,5
23,LASER REJUVE-PEEL,8
24,LASER PIGMENTANSI,1
25,FACIAL ACNE PLUS,10
26,FACIAL DETOX,3
27,OXY FACIAL,3
28,OXY FACIAL DERMABRASI,17
